player_color,move
white,6-4/8-4
black,8-7/13-9
white,13-8/13-10
black,8-7/13-11
white,6-5/6-5/5-4/5-4
black,13-7/13-9
white,6-4/13-10
black,9-7/13-8
white,6-4/13-10
black,8-7/8-7/24-23/23-22
white,8-4/10-4
black,9-7/24-23
white,10-4/10-4/13-7/7-1
black,22-16/16-13
white,8-7/7-6/6-5/5-4
black,6-3/13-7
white,24-21/21-16
black,3-1/7-1
white,25-21/21-20
black,6-1/11-10
white,8-4/16-11
black,7-1/7-1/7-1/7-1
white,11-8/8-6
black,6-2/10-7
white,4-1/6-1
black,6-3/7-1
white,20-14/14-12
black,6-1/23-20
white,12-11/11-6
black,20-15/15-12
white,6-2/2-0
black,3-2/12-9
white,4-2/2-0
black,7-4/4-1/7-4/4-1
white,1-0/4-1
black,9-6/6-2
white,4-3/3-0
black,7-4/4-0
white,1-0/4-3/3-2/2-1
black,1-0/2-0/2-0/2-0
white,4-2/2-0
black,1-0/1-0/1-0/1-0
white,1-0/1-0
black,1-0/1-0
white,4-1/1-0
black,1-0/1-0
white,4-1/4-2
black,1-0/1-0
