player_color,move
white,13-7/7-4
black,8-3/13-8/13-8/13-8
white,13-7/7-6
black,13-7/7-4
white,8-4/13-12
black,25-20/6-4
white,6-4/8-4
black,6-2/8-4/8-4/8-4
white,6-4/24-18
black,8-7/7-4
white,25-24/6-4
black,6-4/8-3
white,13-9/9-4
black,20-15/15-12
white,25-24/8-4
black,6-4/12-7
white,6-3/6-4
black,7-4/24-19
white,25-23/23-20
black,25-24/6-4
white,3-2/24-20
black,19-14/14-11
white,20-18/18-17
black,11-6/24-18
white,24-19/19-14/14-9/9-4
black,25-19/24-20
white,24-19/19-14/14-9/9-4
black,18-12/19-16
white,17-13/13-8
black,25-24/20-18
white,2-1/8-3
black,25-23/23-18
white,3-1/12-8
black,18-15/18-16
white,8-4/20-15
black,3-2/15-14/14-13/13-12
white,15-13/13-8
black,25-22/3-1
white,8-2/2-0
black,2-1/22-17
white,1-0/1-0
black,16-12/17-15
white,4-1/1-0
black,4-1/15-14
white,4-3/3-0
black,14-12/16-11
white,4-2/2-0
black,12-7/7-1
white,4-2/2-0
black,11-6/6-4
white,4-1/1-0
black,4-3/12-8
white,4-2/2-0/4-2/2-0
black,8-7/7-1
white,4-0/4-0
black,3-2/2-0
white,4-2/2-0
black,4-0/4-2
white,4-1/1-0
black,4-0/4-0
white,4-1/1-0
