player_color,move
white,6-4/8-4
black,6-4/6-4/13-11/13-11
white,8-4/24-23
black,13-9/13-11
white,23-18/24-18
black,13-8/24-18
white,6-4/18-12
black,6-1/24-23
white,6-2/8-4/12-8/8-4
black,25-22/18-14
white,13-10/10-4
black,22-16/16-14
white,6-4/18-12
black,6-2/2-1
white,6-4/13-10
black,6-1/14-11
white,10-8/13-10
black,14-10/10-9
white,8-4/13-8
black,9-3/11-8
white,8-5/5-4
black,8-4/9-8
white,10-6/13-12
black,11-10/10-8
white,6-3/12-6
black,4-3/8-4
white,3-1/6-4/12-10/10-8
black,4-3/8-3
white,8-4/2-0
black,11-7/11-7/7-3/7-3
white,4-2/2-0
black,8-4/8-4/8-4/8-4
white,4-1/1-0
black,1-0/1-0/3-2/2-1
white,1-0/4-0
black,1-0/1-0
white,4-3/3-0
black,4-1/1-0
white,4-0/4-0/4-0/4-0
black,3-1/1-0
white,4-2/2-0
black,3-2/2-0
white,4-2/2-0
black,4-0/4-0
white,4-0/4-0/4-0
