player_color,move
black,8-4/24-18
white,6-4/8-2
black,6-3/13-10/10-7/7-4
white,6-5/8-4
black,8-2/8-2/13-7/13-7
white,6-4/13-8
black,18-16/16-10
white,6-4/6-4/13-11/11-9
black,7-2/7-2/13-8/13-8
white,5-4/24-18
black,3-1/10-5
white,25-20/9-7
black,25-20/20-16
white,8-4/13-11
black,6-1/4-1
white,7-2/8-4
black,8-4/8-6
white,13-8/13-8/20-15/15-10
black,2-1/24-22
white,8-6/10-6
black,4-2/22-16
white,18-12/12-8
black,4-1/6-2
white,6-2/6-5
black,16-15/15-12
white,8-7/4-1
black,12-10/16-11
white,5-4/7-2
black,11-7/7-5
white,11-5/5-4
black,10-6/2-0
white,8-2/1-0
black,2-1/6-1
white,2-0/2-0/2-0/2-0
black,5-4/4-1
white,4-0/4-1
black,2-1/2-1/2-1/6-5
white,4-0/1-0
black,5-1/6-2/2-0/6-2
white,4-1/1-0/4-1/1-0
black,1-0/2-0
white,2-0/4-0
black,1-0/1-0
white,4-1/1-0
black,1-0/1-0
white,4-0/4-0
