player_color,move
white,13-7/7-4
black,13-7/7-6
white,8-4/24-18
black,8-7/7-4
white,25-22/8-4
black,6-4/13-10
white,13-10/10-4
black,8-4/10-4
white,6-4/13-10
black,6-1/6-5
white,25-23/8-4
black,6-4/13-7
white,13-10/23-18
black,25-22/13-10/10-7/7-4
white,25-20/13-12
black,25-24/25-20
white,12-7/7-2/20-15/15-10
black,6-4/24-18
white,6-4/10-4
black,6-4/8-4
white,22-18/18-15
black,20-18/22-17
white,6-4/15-10
black,4-1/18-12
white,10-7/7-2
black,25-22/17-14/14-11/11-8
white,10-4/10-4/2-0/2-0
black,4-1/22-18
white,4-3/6-5/5-4/4-3
black,4-1/18-13
white,3-2/2-0
black,8-4/13-10
white,3-0/6-4
black,4-3/3-1
white,4-0/4-0
black,10-5/5-1
white,4-0
black,4-2/4-2/4-2/4-2
white,4-0
black,24-20/20-19
white,4-0/4-0
black,24-20/4-2
white,4-3/3-1
black,12-8/8-2
white,4-1/1-0
black,2-1/19-14
white,1-0/4-0
black,4-1/14-8
white,4-3/3-0
black,8-2/20-17
white,4-3/3-0
