game,final_value,winner,plys
0,[0 1 0 0],self_trained,61
1,[0 0 1 0],self_trained,60
2,[0 1 0 0],match_log_trained,55
3,[0 1 0 0],match_log_trained,53
4,[0 1 0 0],self_trained,67
5,[0 0 1 0],self_trained,74
6,[0 1 0 0],self_trained,67
7,[0 0 1 0],self_trained,60
8,[0 0 1 0],self_trained,50
9,[0 0 1 0],self_trained,54
10,[0 0 1 0],self_trained,48
11,[1 0 0 0],match_log_trained,43
12,[0 1 0 0],match_log_trained,49
13,[1 0 0 0],self_trained,63
14,[0 0 1 0],self_trained,70
15,[0 0 1 0],self_trained,38
16,[0 0 0 1],self_trained,44
17,[0 1 0 0],match_log_trained,53
18,[0 1 0 0],match_log_trained,59
19,[0 0 1 0],match_log_trained,60
20,[0 0 1 0],match_log_trained,50
21,[1 0 0 0],match_log_trained,67
22,[0 1 0 0],match_log_trained,45
23,[0 1 0 0],self_trained,61
24,[0 1 0 0],self_trained,47
25,[0 1 0 0],self_trained,45
26,[0 1 0 0],self_trained,63
27,[0 0 1 0],self_trained,56
28,[0 1 0 0],self_trained,41
29,[0 1 0 0],match_log_trained,49
30,[0 1 0 0],match_log_trained,43
31,[0 1 0 0],self_trained,59
32,[0 0 1 0],match_log_trained,68
33,[0 0 1 0],self_trained,72
34,[0 0 1 0],self_trained,62
35,[0 1 0 0],match_log_trained,59
36,[0 0 1 0],self_trained,52
37,[0 1 0 0],self_trained,55
38,[0 1 0 0],self_trained,63
39,[0 1 0 0],match_log_trained,73
40,[0 0 1 0],match_log_trained,48
41,[0 1 0 0],match_log_trained,55
42,[0 0 1 0],match_log_trained,58
43,[1 0 0 0],self_trained,43
44,[0 1 0 0],match_log_trained,61
45,[0 1 0 0],self_trained,55
