game,final_value,winner,plys
0,[0 1 0 0],untrained,47
1,[0 1 0 0],match_log_trained,41
2,[1 0 0 0],untrained,63
3,[0 1 0 0],match_log_trained,51
4,[0 1 0 0],match_log_trained,45
5,[0 0 1 0],match_log_trained,54
6,[0 1 0 0],untrained,61
7,[0 0 1 0],untrained,44
8,[0 0 1 0],match_log_trained,72
9,[0 0 1 0],untrained,48
10,[1 0 0 0],untrained,59
11,[0 0 1 0],match_log_trained,64
12,[0 1 0 0],match_log_trained,55
13,[0 1 0 0],match_log_trained,65
14,[0 1 0 0],match_log_trained,41
15,[0 1 0 0],match_log_trained,53
16,[0 0 1 0],untrained,58
17,[0 1 0 0],untrained,65
18,[0 1 0 0],untrained,69
19,[0 1 0 0],match_log_trained,59
20,[0 0 1 0],untrained,50
21,[1 0 0 0],match_log_trained,51
22,[0 1 0 0],match_log_trained,65
23,[0 1 0 0],untrained,65
24,[0 0 1 0],match_log_trained,48
25,[0 1 0 0],match_log_trained,45
26,[0 0 1 0],match_log_trained,72
27,[0 0 1 0],untrained,54
28,[1 0 0 0],match_log_trained,45
29,[0 0 0 1],untrained,64
30,[0 1 0 0],match_log_trained,45
31,[0 0 1 0],untrained,66
32,[0 0 0 1],match_log_trained,52
33,[0 1 0 0],match_log_trained,45
34,[0 1 0 0],match_log_trained,61
35,[0 1 0 0],untrained,83
36,[0 1 0 0],untrained,67
37,[0 0 0 1],match_log_trained,54
38,[0 1 0 0],match_log_trained,53
39,[0 0 0 1],match_log_trained,50
40,[0 0 1 0],match_log_trained,70
41,[0 0 0 1],match_log_trained,50
42,[0 1 0 0],untrained,75
43,[0 1 0 0],untrained,53
44,[0 0 1 0],match_log_trained,64
45,[0 0 1 0],match_log_trained,66
46,[0 0 1 0],untrained,44
47,[0 0 1 0],untrained,48
48,[0 0 1 0],match_log_trained,68
